name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
G.Skill Trident Z5 RGB 32 GB,119.99,"[5,6000]","[2,16]",3.75,Black,10,30
Corsair Vengeance RGB Pro 64 GB,129.99,"[4,3600]","[2,32]",2.031,Black,10,18
Samsung M378B5173DB0-CK0 4 GB,10,"[3,1600]","[1,4]",2.5,Green,13.75,11
Patriot Viper Black 16 GB,59.99,"[5,5600]","[2,8]",3.749,Black / White,14.286,40
Corsair Vengeance RGB Pro 256 GB,1588.72,"[4,3000]","[8,32]",6.206,Black,10.667,16
G.Skill Trident Z 32 GB,1200.4,"[4,3200]","[2,16]",37.513,Silver / White,8.75,14
Kingston KSM29RD4/64HAR 64 GB,955.7,"[4,2933]","[1,64]",14.933,,14.32,21
Gigabyte AORUS RGB 32 GB,104.99,"[5,6000]","[2,16]",3.281,Black,13.333,40
Patriot Viper Venom 32 GB,97.99,"[5,6400]","[2,16]",3.062,Black,10,32
G.Skill Trident Z Neo 64 GB,194.99,"[4,3600]","[4,16]",3.047,Black / Silver,8.889,16
Crucial Ballistix MAX 16 GB,995,"[4,5100]","[2,8]",62.188,Black,7.451,19
G.Skill Aegis 16 GB,35.99,"[4,3000]","[2,8]",2.249,Black / Red,10.667,16
Corsair Vengeance LPX 16 GB,39.99,"[4,2400]","[2,8]",2.499,Black / Yellow,13.333,16
G.Skill Ripjaws S5 64 GB,249.99,"[5,6800]","[2,32]",3.906,Black,10,34
G.Skill Ripjaws V 16 GB,34.99,"[4,3200]","[1,16]",2.187,Black,10,16
Corsair Dominator Platinum RGB 64 GB,249.99,"[5,6000]","[2,32]",3.906,Black,13.333,40
Corsair Vengeance LPX 32 GB,84.6,"[4,3600]","[2,16]",2.644,Black / Yellow,10,18
G.Skill Trident Z RGB 32 GB,106.99,"[4,3200]","[4,8]",3.343,Black,10,16
Corsair Vengeance RGB Pro 32 GB,99,"[4,3200]","[2,16]",3.094,Black,10,16
G.Skill Trident Z5 RGB 64 GB,217.99,"[5,6000]","[2,32]",3.406,Black,10,30
Mushkin Enhanced Redline Stiletto 32 GB,77.99,"[4,3600]","[2,16]",2.437,Black,8.889,16
Corsair Vengeance RGB 96 GB,384.99,"[5,6800]","[2,48]",4.01,Black / Silver,11.765,40
Corsair Vengeance RGB 64 GB,309.99,"[5,6600]","[4,16]",4.844,Black / Gray,9.697,32
Corsair Vengeance 64 GB,224.99,"[5,6000]","[4,16]",3.515,Black / Silver,10,30
OLOy MD4U1636181CHKDA 32 GB,53.99,"[4,3600]","[2,16]",1.687,Black,10,18
Supermicro MEM-DR412L-SL02-LR26 128 GB,,"[4,2666]","[1,128]",,Green / Black,16.504,22
Corsair Vengeance RGB 64 GB,234.99,"[5,6000]","[2,32]",3.672,White / Silver,10,30
Corsair Vengeance RGB 32 GB,129.99,"[5,6000]","[2,16]",4.062,Black / Gray,10,30
G.Skill Ripjaws S5 32 GB,96.99,"[5,6000]","[2,16]",3.031,White,10,30
G.Skill Ripjaws S5 64 GB,164.99,"[5,6000]","[2,32]",2.578,Black,12,36
Crucial CT2K16G48C40U5 32 GB,79.98,"[5,4800]","[2,16]",2.499,Black,16.667,40
Corsair Vengeance LPX 32 GB,69.98,"[4,2133]","[2,16]",2.187,Black / Yellow,12.189,13
Kingston FURY Beast RGB 16 GB,74.98,"[5,4800]","[2,8]",4.686,Black,15.833,38
Corsair Vengeance 32 GB,99.99,"[5,6000]","[2,16]",3.125,Black,12,36
OLOy Blade 32 GB,83.99,"[5,6000]","[2,16]",2.625,Black,10.667,32
TEAMGROUP T-Force Delta RGB 32 GB,99.99,"[5,6400]","[2,16]",3.125,Black,12.5,40
Corsair Dominator Titanium 96 GB,454.99,"[5,6600]","[2,48]",4.739,Black,9.697,32
Corsair Vengeance LPX 128 GB,269.99,"[4,3200]","[4,32]",2.109,Black / Yellow,10,16
Crucial CT2K32G48C40U5 64 GB,152.66,"[5,4800]","[2,32]",2.385,Black,16.667,40
Kingston FURY Beast RGB 16 GB,87.99,"[5,5600]","[2,8]",5.499,Black,14.286,40
Corsair Dominator Platinum RGB 32 GB,124.99,"[5,5600]","[2,16]",3.906,Black,12.857,36
