name,Price,type,interface,capacity,price_per_gb,color
Buffalo Technology DriveStation,0,Desktop,"IEEE 1394A 6-Pin, IEEE 1394B 9-Pin, eSATA 3.0 Gb/s, USB Type",1000,,
Buffalo Technology DriveStation,0,Desktop,USB Type-A 3.2 Gen 1,3000,,
Buffalo Technology DriveStation,0,Desktop,USB Type-A 3.2 Gen 1,4000,,
Buffalo Technology DriveStation Duo,0,Desktop,USB Type-A 3.2 Gen 1,2000,,
Buffalo Technology DriveStation Duo,0,Desktop,USB Type-A 3.2 Gen 1,4000,,
Buffalo Technology DriveStation,0,Desktop,Thunderbolt,1000,,
Buffalo Technology DriveStation,0,Desktop,Thunderbolt,256,,
LaCie d2 Quadra,0,Desktop,"IEEE 1394B 9-Pin, eSATA 3.0 Gb/s, USB Type-A 3.2 Gen 1",2000,,
LaCie Blade Runner,0,Desktop,USB Type-A 3.2 Gen 1,4000,,
Western Digital My Book Studio,0,Desktop,"IEEE 1394B 9-Pin, USB Type-A 2.0",2000,,
Western Digital My Book Studio,0,Desktop,"IEEE 1394B 9-Pin, USB Type-A 2.0",3000,,
Western Digital My Book,0,Desktop,USB Type-A 3.2 Gen 1,3000,,
Western Digital My Book Studio,0,Desktop,USB Type-A 3.2 Gen 1,4000,,
Western Digital My Book Thunderbolt Duo,0,Desktop,Thunderbolt,4000,,
Western Digital ELEMENTS,0,Desktop,USB Type-A 3.2 Gen 1,2000,,
Western Digital My Book for Mac,0,Desktop,USB Type-A 3.2 Gen 1,2000,,
Western Digital My Book for Mac,229.99,Desktop,USB Type-A 3.2 Gen 1,3000,0.077,
LaCie 2big Quadra,0,Desktop,"IEEE 1394B 9-Pin, USB Type-A 3.2 Gen 1",4000,,
LaCie Little Big Disk,0,Desktop,Thunderbolt,1000,,
LaCie 4big Quadra,0,Desktop,"IEEE 1394B 9-Pin, USB Type-A 3.2 Gen 1",12000,,
LaCie d2,0,Desktop,"Thunderbolt, USB Type-A 3.2 Gen 1",3000,,
LaCie 2big Quadra,0,Desktop,"IEEE 1394B 9-Pin, USB Type-A 3.2 Gen 1",6000,,
LaCie Porsche Design,0,Desktop,USB Type-A 3.2 Gen 1,4000,,
LaCie d2,0,Desktop,"Thunderbolt, USB Type-A 3.2 Gen 1",5000,,
LaCie d2,0,Desktop,"Thunderbolt, USB Type-A 3.2 Gen 1",6000,,
LaCie Minimus,0,Desktop,USB Type-A 3.2 Gen 1,3000,,
LaCie 4big Quadra,0,Desktop,"IEEE 1394B 9-Pin, USB Type-A 3.2 Gen 1",8000,,
LaCie 2big,0,Desktop,Thunderbolt,10000,,
LaCie d2 Quadra,0,Desktop,"IEEE 1394B 9-Pin, eSATA 3.0 Gb/s, USB Type-A 3.2 Gen 1",5000,,
Samsung D3 Station,0,Desktop,USB Type-A 3.2 Gen 1,2000,,
