name,Price,tracking_method,connection_type,max_dpi,hand_orientation,color
V7 Full size USB Optical Mouse,7.99,Optical,Wired,1000,Both,Silver / Black
HP HyperX Pulsefire Haste 2,69.95,Optical,"Wired, Wireless, Bluetooth Wireless",3200,Right,Black
ROCCAT Kone AIMO Remastered,86.27,Optical,Wired,16000,Right,Black
Glorious Model O-,49.99,Optical,Wired,12000,Right,White
Kensington K72356US,9.08,Optical,Wired,,Both,Black
Logitech G203 Prodigy,36.99,Optical,Wired,6000,Right,Black
Logitech G602,169,Optical,Wireless,2500,Right,Black / Silver
Razer DeathAdder,211.73,Laser,Wired,3500,Left,Black
Rosewill Neon M62,12.99,Optical,Wired,10000,Right,Black
Logitech G Pro X Superlight,129.99,Optical,Wireless,25400,Right,Red
GameMax Tornado,,Optical,Wired,2000,Right,Black
Cooler Master MM730,19.95,Optical,Wired,16000,Right,White / Gray
Logitech G303 SHROUD EDITION,129.99,Optical,Wireless,25000,Right,Black
Logitech G900 CHAOS SPECTRUM,94.84,Optical,Wireless,12000,Both,Black
Razer DeathAdder 2013,39.97,Optical,Wired,6400,Right,Black
Logitech M170,12.99,Optical,Wireless,,Both,Gray
Logitech M510,22.99,Laser,Wireless,1000,Right,Black
SteelSeries Rival 100,13.99,Optical,Wired,4000,Right,Gold
Razer Viper Ultimate,89.99,Optical,Wireless,20000,Both,White / Gray
Logitech G303 Daedalus Apex,299.99,Optical,Wired,12000,Right,Black / Orange
Logitech TrackMan,399.94,Trackball,Wireless,,Right,Black / Silver
Lenovo GX30M39704 300,8.99,Laser,Wired,,Both,Black / Orange
Lamzu Atlantis OG,,Optical,"Wired, Wireless",26000,Right,White / Blue
Corsair M55 RGB Pro,39.99,Optical,Wired,12400,Both,Black
ROCCAT KONE Pro Air,55.99,Optical,Wireless,19000,Right,White
Logitech M570,8.6,Trackball,Wireless,,Right,Black
EVGA X20,29.99,Optical,"Wired, Wireless, Bluetooth Wireless",16000,Right,Black / Silver
Asus ROG Gladius III,95.73,Optical,Wireless,26000,Right,Black
Logitech MX Master,157.23,Laser,Bluetooth Wireless,1600,Right,Brown / Black
Razer DeathAdder V2 Mini,43,Optical,Wired,8500,Right,Black
Razer DeathAdder Chroma,44.88,Optical,Wired,10000,Right,Black
Logitech M185,13.49,Optical,Wireless,,Both,Gray
Logitech G403 Prodigy,199.98,Optical,Wireless,12000,Right,Black
Asus ROG Chakram X,,Optical,"Wired, Wireless, Bluetooth Wireless",36000,Right,Black
Glorious Model D-,49.99,Optical,Wired,12000,Right,Black
Asus ROG Strix Impact II,142.37,Optical,Wireless,16000,Right,Black
Cherry MC 1000,9.94,Optical,Wired,1200,Both,Black
Logitech G PRO Hero,,Optical,Wired,25600,Right,Black
SteelSeries Prime,39.99,Optical,Wired,18000,Right,Black
