name,price,core_count,boost_clock,tdp,smt
Intel Xeon E5-2690 V2,,10,3.6,130,TRUE
Intel Celeron G4920,69.95,2,,65,FALSE
Intel Core 2 Extreme QX6800,998.95,4,,100,FALSE
Intel Xeon E3-1275 V3,,4,3.9,84,TRUE
Intel Xeon E5-2660,,8,3,95,TRUE
Intel Xeon E3-1230 V5,298.95,4,3.8,80,TRUE
Intel Core i7-7700T,390,4,3.8,35,TRUE
Intel Core i3-4370,60,2,,54,TRUE
Intel Core i7-3970X Extreme Edition,256.19,6,,150,TRUE
Intel Core i7-7740X,210,4,4.5,112,TRUE
Intel Xeon E5-2683 V4,865.49,16,3,120,TRUE
Intel Core i7-8700T,335,6,4,35,TRUE
Intel Core i5-7500,,4,3.8,65,FALSE
Intel Xeon E5-2620 V4,259.99,8,3,85,TRUE
Intel Core i7-4770K,241.42,4,3.9,84,TRUE
Intel Xeon E5-1650 V4,,6,4,140,TRUE
Intel Core i9-7980XE,1698.95,18,4.4,165,TRUE
Intel Core i5-9500T,,6,3.7,35,FALSE
AMD Athlon X4 950,,4,3.8,65,FALSE
AMD FX-8120,,8,,125,FALSE
Intel Core i9-9900T,,8,4.4,35,TRUE
Intel Xeon E5-4620,52,8,2.6,95,TRUE
Intel Core i5-9600KF,309.95,6,4.6,95,FALSE
Intel Core i5-4690K,160.65,4,3.9,88,FALSE
Intel Xeon E5-2667 V3,981.57,8,3.6,135,TRUE
Intel Core i3-4130T,76,2,,35,TRUE
AMD Phenom II X4 965 Black,,4,,125,FALSE
Intel Xeon E-2176G,424.99,6,4.7,80,TRUE
Intel Xeon E5-2697 V4,,18,3.6,145,TRUE
AMD FX-8320E,,8,4,95,FALSE
Intel Xeon E5-2690 V3,,12,3.5,135,TRUE
Intel Core i5-9500F,,6,4.4,65,FALSE
Intel Pentium Gold G6500,89.99,2,,58,TRUE
Intel Core i3-550,108.21,2,,73,TRUE
Intel Core i9-9920X,,12,4.4,165,TRUE
AMD A8-7650K,,4,3.7,95,FALSE
Intel Core i7-6700T,,4,3.6,35,TRUE
Intel Xeon E5-1660 V2,504.07,6,4,130,TRUE
Intel Core i5-7500T,199.95,4,3.3,35,FALSE
Intel Core i5-6600T,294.98,4,3.5,35,FALSE
Intel Core i5-650,100,2,,73,TRUE
Intel Core i7-4790T,179.88,4,3.9,45,TRUE
Intel Core i5-7400,130.31,4,3.5,65,FALSE
Intel Xeon E5-2670,,8,3.3,115,TRUE
AMD A10-7800,,4,3.9,65,FALSE
AMD Athlon II X4 630,52.6,4,,95,FALSE
Intel Core 2 Duo E8500,,2,,65,FALSE
Intel Core 2 Duo E7300,28.2,2,,65,FALSE
Intel Core i3-10320,134,4,4.6,65,TRUE
Intel Pentium G2030,,2,,55,FALSE
AMD Athlon X4 860K,,4,4,95,FALSE
Intel Core i9-7940X,,14,4.4,165,TRUE
Intel Core i3-8300,,4,,62,FALSE
Intel Celeron G5920,39.99,2,,58,FALSE
