name,Price,rpm,noise_level,color,size
MSI MAG CORELIQUID C240,89.99,"[500,2000]","[14.3,34.3]",Black,240
ARCTIC Freezer 34 eSports DUO,49.99,"[200,2100]",,Black / Gray,
ARCTIC Alpine 17,11.99,"[100,2000]",,Black / White,
ARCTIC Alpine 23 CO,11.99,"[100,2000]",,Black,
Lian Li GALAHAD AIO 360 RGB UNI FAN SL120 EDITION,,"[800,1900]",,Black / Silver,360
Corsair iCUE H170i ELITE CAPELLIX,290.3,,"[10,37]",Black,420
be quiet! Dark Rock Slim,59.9,,"[11,23.6]",Black,
Asus ROG Ryujin III,349.99,"[600,2200]",,White,360
MSI MAG CORELIQUID 240R V2 WHIT,99.99,"[500,2000]",,White,240
Corsair iCUE H100i RGB PRO XT,198.99,,,Black,240
Lian Li Galahad II Trinity Performance,159.99,"[2300,3000]","[32.1,39.9]",White,360
Thermalright Assassin X Refined SE PLUS,19.5,,,Black / Silver,
Cooler Master MasterLiquid 240L Core,99.99,"[350,1750]",,Black,240
ARCTIC Freezer 7 X CO,16.99,"[300,2000]",,Black / Silver,
NZXT Kraken Elite 280,244.15,"[500,1500]","[19.4,32.1]",Black,280
Phanteks GLACIER ONE 360D30,199.99,"[250,2000]",,Black,360
Asus ROG STRIX LC II ARGB,99.99,"[800,2500]",,Black,240
Asus ROG RYUO III 360 ARGB,244.99,,,Black,360
Thermalright Peerless Assassin 120 White ARGB,43.5,,,White,
Cooler Master X Dream I117,,,,,
Vetroo V360,109.99,"[800,1800]",,White,360
Corsair H60 (2018),,,,Black,120
ID-COOLING DASHFLOW 240 BASIC,69.98,"[700,1800]","[15.2,35.2]",Black,240
Cooler Master MasterLiquid ML240R RGB,89.99,"[650,2000]","[6,30]",,240
Thermalright AXP90-X47,49.9,,,Orange / Brown,
Deepcool AK500 WH,54.99,"[500,1850]","[25.9,31.5]",White,
Vetroo V240,79.98,,,Black,240
Noctua NH-L9a-AM4 chromax.black,54.95,"[600,2500]","[14.8,23.6]",Black,
ID-COOLING PINKFLOW,109.99,"[900,2000]","[16.3,33.5]",White / Pink,240
NZXT Kraken M22,89.99,"[500,2000]","[21,36]",Black,120
Phanteks GLACIER ONE 360D30,199.99,"[250,2000]",,White,360
NZXT Kraken Z63 RGB,318.97,"[500,1500]","[22,33]",White / Black,280
Enermax Liqmax III 360 ARGB,89.99,"[500,1600]","[14,27]",Black,360
be quiet! Shadow Rock 3,49.9,,"[11.5,24.4]",Black,
Thermalright Frost Spirit 140 V3 BLACK,51.59,,,Black,
Lian Li Galahad II Trinity,119.99,,,Black,240
Iceberg Thermal IceFLOE T95,16.98,"[1000,2200]",,Teal / Silver,
EK AIO Elite 360 D-RGB,149.99,"[550,2200]",,Black,360
Cooler Master MasterLiquid Lite 240,,"[650,2000]","[6,30]",,240
Thermaltake Gravity i2,11.99,,,,
Deepcool GAMMAXX GT A-RGB,66.47,"[500,1650]",,Black / Silver,
ID-COOLING DASHFLOW 240 BASIC,59.99,"[700,1800]","[15.2,35.2]",White,240
Thermalright Frozen Edge,65.9,,,Black,360
Asus ROG RYUJIN III 360 ARGB EVA-02 EDITION,399.99,"[600,2200]",,Red / Black,360
Cooler Master MasterLiquid ML240 Illusion,109.99,"[650,1800]","[6,30]",Black,240
Corsair H100x,,,,Black,240
NZXT Kraken X63 RGB,184.99,"[500,1500]","[22,33]",White / Black,280
Thermaltake TH360 ARGB Sync,116.99,,,Black,360
NZXT Kraken X73 RGB,319.94,"[500,1500]","[22,33]",Black,360
NZXT Kraken X73 RGB,295,"[500,1500]","[22,33]",White / Black,360
be quiet! Pure Loop 2 FX,129.16,,"[8,32.3]",Black,240
NZXT Kraken Z53 RGB,,"[500,1500]","[22,33]",Black,240
NZXT Kraken 280 RGB,191.99,"[500,1500]",,Black,280
NZXT T120,49.99,"[500,1800]","[17.9,30.6]",Black,
Cooler Master MasterLiquid ML360L ARGB V2,99.99,"[650,1800]","[8,27]",White,360
Corsair iCUE H170i ELITE CAPELLIX XT,231.99,"[500,1700]","[5,33.8]",Black,420
NZXT Kraken X53 RGB,164.99,"[500,1500]","[22,33]",White / Black,240
be quiet! Silent Loop 2 360,207.89,,"[17.7,39.8]",Black,360
